hospital_id,description,code1,code1_type,code2,code2_type,code3,code3_type,billing_class,setting,drug_unit_of_measurement,drug_type_of_measurement,modifiers,standard_charge_gross,standard_charge_discounted_cash,payer_name,plan_name,standard_charge_negotiated_dollar,standard_charge_negotiated_percentage,standard_charge_negotiated_algorithm,estimated_amount,standard_charge_methodology,standard_charge_min,standard_charge_max,additional_generic_notes
H002,"Brachytx, non-str,Yttrium-90",2616,APC,,,,,facility,outpatient,,,,,,BCBS,CareFirst PPO,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",29113.03,other,21829.7,35427.28,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H002,"Brachytx, non-str,Yttrium-90",2616,APC,,,,,facility,outpatient,,,,,,Cigna,HMO,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",35427.28,other,21829.7,35427.28,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H002,"Brachytx, non-str,Yttrium-90",2616,APC,,,,,facility,outpatient,,,,,,UnitedHealthCare,Non-Options All Commercial Plans,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",21829.7,other,21829.7,35427.28,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H002,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Aetna,HMO,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",207.86,other,6.63,1464.8,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H002,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Aetna,Medicare Managed Care Plan,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",83.37,other,6.63,1464.8,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H002,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Aetna,PPO,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",250.5,other,6.63,1464.8,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H002,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Amerigroup - DC,Medicaid Managed Care Plan,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",392.76,other,6.63,1464.8,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H002,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,AmeriHealth Caritas - DC,Medicaid Managed Care Plan,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",396.97,other,6.63,1464.8,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H002,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,BCBS,CareFirst HMO,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",262,other,6.63,1464.8,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H002,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,BCBS,CareFirst PPO,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",320.76,other,6.63,1464.8,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H002,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Cigna,HMO,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",307.8,other,6.63,1464.8,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H002,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Cigna,PPO,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",243.62,other,6.63,1464.8,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
