hospital_id,description,code1,code1_type,code2,code2_type,code3,code3_type,billing_class,setting,drug_unit_of_measurement,drug_type_of_measurement,modifiers,standard_charge_gross,standard_charge_discounted_cash,payer_name,plan_name,standard_charge_negotiated_dollar,standard_charge_negotiated_percentage,standard_charge_negotiated_algorithm,estimated_amount,standard_charge_methodology,standard_charge_min,standard_charge_max,additional_generic_notes
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Meritain Health,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",157.21,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Open Choice Ppo/Other,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",174.16,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Health Network Only,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",225.96,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna World Bank Employees,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",202.74,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Managed Choice Open Access,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",175.66,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Choice Pos I And Ii,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",177.43,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Signature Administrators,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",253.15,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Aetna Better Health Mco,Aetna Better Health Of Maryland,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",217.78,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Aetna Med Adv,Aetna Medicare Ppo,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",238.16,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Aetna Med Adv,Aetna Medicare Hmo,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",94.66,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
